Trimestre;Sentido transacción;Ramas actividad;Código (armonización según CNAE y CNPA);Evolución trimestral del volumen de negocio (€)
2022T2;Desde España con el exterior;Otro comercio no especializado;4690;11966112,09
2022T2;Desde España con el exterior;Otros;-;2322514340,32
2022T2;Desde España con el exterior;Otros artículos de uso doméstico;4649;1500282,48
2022T2;Desde España con el exterior;Otros servicios personales;9609;5951549,01
2022T2;Desde España con el exterior;Panadería, confitería y pastelería;4724;1240742,05
2022T2;Desde España con el exterior;Parques de atracciones y parques temáticos;9321;4694812,06
2022T2;Desde España con el exterior;Peluquería y tratamientos de belleza;9602;3860873,13
2022T2;Desde España con el exterior;Perfumería, cosméticos y artículos de tocador;4775;70160767,81
2022T2;Desde España con el exterior;Pompas fúnebres;9603;41955,6
2022T2;Desde España con el exterior;Prendas de vestir;4771;960689046,56
2022T2;Desde España con el exterior;Productos de tabaco;4726;1909881,3
2022T2;Desde España con el exterior;Productos farmacéuticos;4646 + 4773;34426510,9
2022T2;Desde España con el exterior;Productos químicos;4675;3800962,48
2022T2;Desde España con el exterior;Publicidad;7311;58458393,62
2022T2;Desde España con el exterior;Relojería, joyería y platería;4648+ 4777;21263533,09
2022T2;Desde España con el exterior;Reparación de aparatos domésticos eléctricos;9521;1058939,85
2022T2;Desde España con el exterior;Reparación de calzado y otros artículos de cuero;9523;8989,35
2022T2;Desde España con el exterior;Repuestos y accesorios de vehículos de motor;4532;44854480,77
2022T2;Desde España con el exterior;Restaurantes;5610;427022591,51
2022T2;Desde España con el exterior;Seguros y planes de pensiones;6512;14847961,92
2022T2;Desde España con el exterior;Selección y colocación de personal;7810;1383377,8
2022T2;Desde España con el exterior;Semillas, flores, plantas y animales de compañía;4776;37637355,24
2022T2;Desde España con el exterior;Servicios auxiliares a la intermediación financiera;6610;798839225,88
2022T2;Desde España con el exterior;Servicios de  jardinería;8130;343003,88
2022T2;Desde España con el exterior;Servicios de fotografía y reprografía;7420+ 8219;7596651,51
2022T2;Desde España con el exterior;Servicios de investigación;8030;422086,43
2022T2;Desde España con el exterior;Servicios de limpieza;8121;400683,89
2022T2;Desde España con el exterior;Servicios informáticos;6209;64173334,97
2022T2;Desde España con el exterior;Servicios inmobiliarios;6820;14663798,6
2022T2;Desde España con el exterior;Servicios postales y paquetería;5310;14932353,1
2022T2;Desde España con el exterior;Servicios sanitarios;86;12508327,99
2022T2;Desde España con el exterior;Servicios sociales;88;1521631,99
2022T2;Desde España con el exterior;Servicios veterinarios;75;745112,87
2022T2;Desde España con el exterior;Suscripción canales tv;6020;311096411,58
2022T2;Desde España con el exterior;Transporte aéreo;5110;670890753,72
2022T2;Desde España con el exterior;Transporte marítimo;5010;20725826,45
